Fichier;Numéro de ligne;Contenu de la ligne;Criticité;Problème rencontré
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;251;m_pointerRuleDialog = nullptr;;Majeur;Pointeur pas entre parentheses
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;428;m_mergedReport = new QFile(l_reportName);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;429;if(!m_mergedReport->open(QFile::WriteOnly | QFile::Text));Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;431;qDebug() << CANNOT_OPENED_FILE << m_mergedReport->fileName() << FOR_WRITING;;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;436;QTextStream l_flux(m_mergedReport);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;590;QTextStream l_flux(m_mergedReport);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;602;m_mergedReport->close();;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;251;m_pointerRuleDialog = nullptr;;Majeur;Pointeur pas entre parentheses
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;428;m_mergedReport = new QFile(l_reportName);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;429;if(!m_mergedReport->open(QFile::WriteOnly | QFile::Text));Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;431;qDebug() << CANNOT_OPENED_FILE << m_mergedReport->fileName() << FOR_WRITING;;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;436;QTextStream l_flux(m_mergedReport);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;590;QTextStream l_flux(m_mergedReport);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;602;m_mergedReport->close();;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;251;m_pointerRuleDialog = nullptr;;Majeur;Pointeur pas entre parentheses
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;428;m_mergedReport = new QFile(l_reportName);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;429;if(!m_mergedReport->open(QFile::WriteOnly | QFile::Text));Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;431;qDebug() << CANNOT_OPENED_FILE << m_mergedReport->fileName() << FOR_WRITING;;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;436;QTextStream l_flux(m_mergedReport);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;590;QTextStream l_flux(m_mergedReport);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;602;m_mergedReport->close();;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;251;m_pointerRuleDialog = nullptr;;Majeur;Pointeur pas entre parentheses
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;428;m_mergedReport = new QFile(l_reportName);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;429;if(!m_mergedReport->open(QFile::WriteOnly | QFile::Text));Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;431;qDebug() << CANNOT_OPENED_FILE << m_mergedReport->fileName() << FOR_WRITING;;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;436;QTextStream l_flux(m_mergedReport);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;590;QTextStream l_flux(m_mergedReport);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.cpp;602;m_mergedReport->close();;Majeur;Le pointeur n'est pas entouré d'un block if !
